TOWNCODE,TOWNENG,COUNTYNAME,TOWNNAME,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
10005050,Miaoli_ToufenCity,苗栗縣,頭份市,95687,96261,97150,98377,99993,101527,102654,103239,103157,103147,103081,103701,104441,105084,105354,106350,107478,108231
68000050,Taoyuan_LuzhuDistrict,桃園市,蘆竹區,135768,138727,142120,143886,146779,149852,151354,155403,158802,161912,164384,166406,167060,166394,167205,169237,169936,170556
68000070,Taoyuan_GuishanDistrict,桃園市,龜山區,133977,135692,137996,138355,139605,140509,141998,145580,152817,157633,160591,162921,164398,166767,172274,178297,183895,188328
68000130,Taoyuan_FuxingDistrict,桃園市,復興區,10454,10611,10670,10684,10626,10625,10913,10930,11192,11505,12026,12176,12354,12656,13053,13210,13261,13296
68000030,Taoyuan_DaxiDistrict,桃園市,大溪區,91146,91875,92081,91979,91891,91961,91887,93343,94102,94451,94885,95550,95664,94870,94313,94607,94404,93799
68000080,Taoyuan_BadeDistrict,桃園市,八德區,173585,175127,176868,177435,178889,179502,181431,187420,192922,198074,202198,205974,209202,209665,209952,213403,214690,216058
68000010,Taoyuan_TaoyuanDistrict,桃園市,桃園區,397056,401096,406851,410113,413488,415414,417366,427145,434243,440840,447302,452824,457245,458847,462338,470683,475798,478487
68000060,Taoyuan_DayuanDistrict,桃園市,大園區,80274,81309,81966,82136,82756,83586,84531,85565,87158,89281,90888,93078,93887,92172,85991,86634,88166,89713
68000040,Taoyuan_YangmeiDistrict,桃園市,楊梅區,145347,148092,150926,152441,154324,155754,157200,161098,163959,167639,170380,173049,175142,176757,177602,180032,181526,182837
68000110,Taoyuan_XinwuDistrict,桃園市,新屋區,49683,49576,49112,48652,48276,48025,48058,48409,48772,48953,49210,49256,49333,49094,49205,49277,49389,49723
68000120,Taoyuan_GuanyinDistrict,桃園市,觀音區,60368,60831,61077,61676,62612,63003,63602,64785,65555,66472,67358,67956,69032,69995,73026,74521,75874,77526
68000020,Taoyuan_ZhongliDistrict,桃園市,中壢區,362129,365109,369770,372429,376217,378918,381449,389782,396453,405216,412063,417380,422471,422529,423722,431255,435050,439213
68000090,Taoyuan_LongtanDistrict,桃園市,龍潭區,113633,114266,115166,114958,115146,115728,116211,118433,120201,121822,123175,124031,124408,124442,124973,126603,127270,127360
68000100,Taoyuan_PingzhenDistrict,桃園市,平鎮區,205266,206471,207457,208561,209552,211146,212328,217887,221587,224219,226412,228436,228611,228203,227810,229686,229389,228210
64000110,Kaohsiung_XiaogangDistrict,高雄市,小港區,153123,153896,154548,154772,155779,156115,156171,156256,157023,157475,157742,157793,157356,156035,154808,155009,154354,153310
64000010,Kaohsiung_YanchengDistrict,高雄市,鹽埕區,28067,27651,27399,26723,26222,25847,25400,25032,24659,24219,24059,23889,23553,22912,22481,22539,22275,21871
64000060,Kaohsiung_XinxingDistrict,高雄市,新興區,56704,55744,55287,54345,53749,53170,52534,51955,51431,51153,51032,51014,50490,49383,49068,49598,49573,49380
64000070,Kaohsiung_QianjinDistrict,高雄市,前金區,29774,29208,28859,28446,28250,28038,27832,27388,27151,26991,26831,26879,26668,26416,26633,27098,27199,27670
64000090,Kaohsiung_QianzhenDistrict,高雄市,前鎮區,200614,199951,199144,197693,196246,194835,193952,192593,191262,189839,188340,187524,185828,182805,180282,179854,178290,176845
64000040,Kaohsiung_NanziDistrict,高雄市,楠梓區,170416,171906,173053,173969,175798,177579,178532,179931,181845,183751,185687,187999,189426,190149,191313,193139,194404,195613
64000120,Kaohsiung_FengshanDistrict,高雄市,鳳山區,339240,339952,341120,345346,349816,352574,354093,356320,357768,359120,359519,359882,359576,357946,356016,356536,355175,353000
64000140,Kaohsiung_DaliaoDistrict,高雄市,大寮區,109449,109257,108984,109157,109780,110449,111191,111663,112258,112397,112421,112259,112265,111933,111514,111986,112213,112239
64000150,Kaohsiung_DashuDistrict,高雄市,大樹區,44585,44230,43955,43609,43429,43418,43190,43161,43067,42757,42390,42142,41764,41257,40732,40432,40163,39906
64000160,Kaohsiung_DasheDistrict,高雄市,大社區,32843,32808,32941,33296,33766,34097,34455,34566,34615,34577,34604,34410,34324,34050,33670,33729,33754,33741
64000170,Kaohsiung_RenwuDistrict,高雄市,仁武區,68995,70242,72202,74867,77371,79392,80994,82614,84122,85894,87694,89595,91893,93581,95089,97337,98956,100311
64000180,Kaohsiung_NiaosongDistrict,高雄市,鳥松區,41730,42135,42595,43191,43696,43781,43735,43965,44265,44291,44469,44960,44938,44393,44168,44373,44233,43703
64000190,Kaohsiung_GangshanDistrict,高雄市,岡山區,96731,97095,97102,97417,97587,97800,97751,97827,97643,97329,97103,97127,96841,95922,95349,95574,95176,94624
64000200,Kaohsiung_QiaotouDistrict,高雄市,橋頭區,36439,36284,36415,36809,36962,37010,37198,37317,37448,37579,37650,38254,38955,40094,40470,41712,42671,43341
64000210,Kaohsiung_YanchaoDistrict,高雄市,燕巢區,31220,31059,30790,30941,30758,30542,30397,30124,29960,29922,29820,29686,29493,29244,28963,28776,28576,28348
64000220,Kaohsiung_TianliaoDistrict,高雄市,田寮區,8441,8325,8214,8012,7852,7732,7680,7473,7340,7245,7159,7043,6919,6788,6655,6530,6298,6125
64000230,Kaohsiung_AlianDistrict,高雄市,阿蓮區,30698,30613,30383,30225,30033,29795,29566,29319,29093,28844,28658,28489,28331,28011,27656,27409,27131,26785
64000240,Kaohsiung_LuzhuDistrict,高雄市,路竹區,54369,54137,53791,53443,53145,53036,53064,53033,53007,52761,52538,52185,51726,51217,50602,50355,49715,48906
64000250,Kaohsiung_HuneiDistrict,高雄市,湖內區,28634,28697,28827,28806,29120,29203,29399,29615,29876,29803,29794,29684,29882,29648,29540,29525,29396,29295
64000300,Kaohsiung_QishanDistrict,高雄市,旗山區,40720,40368,39873,39423,39038,38563,38100,37770,37342,36940,36652,36313,35764,35162,34622,34304,33818,33368
64000310,Kaohsiung_MeinongDistrict,高雄市,美濃區,43710,43444,42993,42658,42157,41668,41258,40810,40399,39973,39589,39074,38611,37949,37317,37008,36545,36074
64000320,Kaohsiung_LiuguiDistrict,高雄市,六龜區,15455,15354,14833,14421,14203,13943,13663,13467,13217,13016,12939,12633,12391,12135,11920,11700,11511,11286
64000330,Kaohsiung_JiaxianDistrict,高雄市,甲仙區,8102,7616,7228,6981,6625,6444,6420,6291,6214,6107,6026,5943,5877,5788,5661,5543,5412,5279
64000340,Kaohsiung_ShanlinDistrict,高雄市,杉林區,11186,11102,11842,12136,12577,12587,12531,12383,12201,12038,11795,11681,11541,11288,11094,10955,10714,10569
64000350,Kaohsiung_NeimenDistrict,高雄市,內門區,16308,16085,15951,15662,15510,15351,15178,14978,14743,14540,14437,14195,13976,13770,13499,13184,12893,12519
64000360,Kaohsiung_MaolinDistrict,高雄市,茂林區,1776,1850,1874,1834,1839,1832,1915,1890,1896,1924,1994,1937,1915,1874,1940,1905,1869,1846
64000370,Kaohsiung_TaoyuanDistrict,高雄市,桃源區,4747,4777,4817,4700,4559,4406,4296,4239,4220,4246,4311,4261,4223,4193,4258,4230,4190,4151
64000380,Kaohsiung_NamaxiaDistrict,高雄市,那瑪夏區,3469,3457,3401,3252,3170,3145,3204,3149,3131,3125,3148,3146,3147,3143,3201,3165,3132,3111
64000130,Kaohsiung_LinyuanDistrict,高雄市,林園區,70979,70770,70512,70439,70383,70436,70476,70401,70201,69990,69870,69604,69478,68893,68429,68216,67903,67341
64000260,Kaohsiung_QiedingDistrict,高雄市,茄萣區,31762,31583,31433,31008,30999,30868,30690,30551,30412,30217,30089,30006,29960,29812,29480,29241,28959,28732
64000270,Kaohsiung_YonganDistrict,高雄市,永安區,14134,14253,14301,14106,14129,14138,14148,14152,14039,13980,13909,13786,13705,13618,13776,13863,13823,13510
64000280,Kaohsiung_MituoDistrict,高雄市,彌陀區,20714,20613,20433,20217,20123,19920,19854,19655,19555,19383,19252,19049,18872,18627,18468,18273,18069,17715
64000290,Kaohsiung_ZiguanDistrict,高雄市,梓官區,36976,36867,36726,36559,36519,36381,36384,36429,36252,36116,35940,35750,35517,35117,34845,34813,34792,34701
64000080,Kaohsiung_LingyaDistrict,高雄市,苓雅區,186765,185021,183948,181717,179512,177716,175854,174515,172895,171033,169648,168825,167280,164572,162642,163838,163295,161185
