TOWNCODE,TOWNENG,COUNTYNAME,TOWNNAME,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
67000180,Tainan_XinhuaDistrict,臺南市,新化區,44469,44361,44096,44023,43940,43836,43782,43828,43727,43630,43456,43254,43317,42809,42467,42793,42292,41932
67000200,Tainan_XinshiDistrict,臺南市,新市區,35307,34977,34740,35035,35187,35336,35482,35853,36268,36574,36898,37269,37660,37546,37482,37624,37913,38279
67000210,Tainan_AndingDistrict,臺南市,安定區,30111,30129,30232,30263,30298,30215,30298,30331,30447,30564,30483,30413,30374,30105,29904,29926,29842,29783
67000230,Tainan_YujingDistrict,臺南市,玉井區,15696,15579,15413,15223,15058,14821,14561,14388,14281,14151,13997,13769,13602,13342,13118,13043,12830,12674
67000240,Tainan_NanxiDistrict,臺南市,楠西區,10871,10794,10663,10445,10272,10186,10116,10032,9898,9717,9537,9319,9178,9031,8870,8708,8532,8392
67000250,Tainan_NanhuaDistrict,臺南市,南化區,8980,9009,8925,8840,8814,8894,9001,8893,8838,8787,8724,8583,8398,8264,8114,7996,7786,7606
67000260,Tainan_ZuozhenDistrict,臺南市,左鎮區,5576,5614,5492,5359,5294,5211,5181,5071,4980,4876,4781,4676,4569,4428,4366,4231,4124,4095
67000270,Tainan_RendeDistrict,臺南市,仁德區,68481,68947,69343,70232,71270,72444,73099,73887,74637,75518,75878,76094,76385,76497,76896,77312,77574,77496
67000280,Tainan_GuirenDistrict,臺南市,歸仁區,65729,65924,65819,66104,66655,67101,67504,67906,68170,68424,68403,68135,68164,68001,68044,68726,69818,70574
67000290,Tainan_GuanmiaoDistrict,臺南市,關廟區,36715,36380,36026,35593,35353,35105,34865,34719,34601,34433,34353,34202,33941,33860,33424,33270,33048,33198
67000300,Tainan_LongqiDistrict,臺南市,龍崎區,4464,4433,4382,4311,4325,4310,4292,4196,4107,4038,3995,3900,3768,3668,3601,3476,3352,3234
67000310,Tainan_YongkangDistrict,臺南市,永康區,212540,214622,216748,220825,224303,226875,228651,230806,232210,233905,234891,235699,235415,234624,234130,234953,235623,235805
67000340,Tainan_NorthDistrict,臺南市,北區,130094,131203,131925,132098,132233,132336,132558,132651,133091,132726,132112,131480,130094,127913,126068,126575,125821,125439
67000170,Tainan_BeimenDistrict,臺南市,北門區,12529,12560,12468,12254,12083,11876,11691,11527,11333,11188,11051,10830,10601,10397,10183,9994,9712,9436
67000350,Tainan_AnnanDistrict,臺南市,安南區,175630,177116,178119,179987,182749,185412,187775,189620,191196,192224,193438,194228,195623,197061,199118,201824,203838,204534
67000330,Tainan_SouthDistrict,臺南市,南區,127390,126571,126173,126129,126018,125611,125691,125738,125768,125394,124824,124696,123789,122345,121035,121189,120323,119121
67000320,Tainan_EastDistrict,臺南市,東區,194234,194401,194183,193782,192972,191576,190233,188865,187834,186841,186250,186009,184958,182489,180511,182034,181962,180856
67000360,Tainan_AnpingDistrict,臺南市,安平區,60613,61740,62602,63593,64348,64589,64898,65380,65813,66496,66775,67119,67213,67446,68025,69015,70321,71256
67000370,Tainan_WestCentral,臺南市,中西區,80492,80029,79271,78741,78666,78498,77910,77498,76967,77770,78167,78493,78556,77704,77408,78096,77124,75802
67000190,Tainan_ShanhuaDistrict,臺南市,善化區,43021,43361,43477,43995,44619,45167,46100,46933,47660,48386,48968,50018,50814,51265,51842,52444,53300,53888
67000220,Tainan_ShanshangDistrict,臺南市,山上區,8036,8021,7864,7757,7696,7570,7500,7437,7359,7314,7317,7199,7128,6996,6976,7018,6916,6796
67000040,Tainan_LiuyingDistrict,臺南市,柳營區,23147,22987,22726,22443,22160,21932,21828,21629,21520,21365,21205,21068,20826,20618,20407,20306,20007,19831
67000060,Tainan_DongshanDistrict,臺南市,東山區,23532,23414,23117,22771,22529,22195,21920,21603,21320,21049,20788,20449,20152,19788,19366,19156,18836,18490
67000150,Tainan_QiguDistrict,臺南市,七股區,25115,24958,24815,24649,24225,23871,23608,23365,23172,22974,22732,22299,22142,21757,21439,21210,20760,20493
67000160,Tainan_JiangjunDistrict,臺南市,將軍區,21935,21798,21579,21261,21005,20808,20568,20309,20051,19849,19664,19353,19073,18843,18618,18255,18070,17598
10016020,Penghu_HuxiTownship,澎湖縣,湖西鄉,13017,13520,13660,13699,13915,14221,14315,14413,14435,14508,14594,14997,15230,15447,15820,16059,16124,16131
10016010,Penghu_MagongCity,澎湖縣,馬公市,55126,56435,57061,57468,58490,59502,60335,60924,61740,62308,62610,62999,63206,63289,63657,63957,64078,63282
10016030,Penghu_BaishaTownship,澎湖縣,白沙鄉,9202,9458,9471,9412,9491,9591,9799,9710,9799,9817,9827,9833,9907,9989,10047,10087,10137,10084
10016040,Penghu_XiyuTownship,澎湖縣,西嶼鄉,8177,8483,8437,8354,8354,8403,8438,8417,8403,8408,8349,8306,8353,8338,8341,8290,8207,8039
10016050,Penghu_WanganTownship,澎湖縣,望安鄉,4502,4743,4747,4661,4995,5021,5117,5091,5131,5176,5235,5273,5371,5415,5448,5409,5424,5266
10016060,Penghu_QimeiTownship,澎湖縣,七美鄉,3284,3571,3542,3563,3598,3662,3754,3749,3755,3856,3825,3799,3885,3862,3910,3937,3931,3914
09020040,Kinmen_JinningTownship,金門縣,金寧鄉,15588,17836,18938,20520,22939,25118,27307,28833,30006,30838,31765,32531,33070,33901,34325,35400,35809,35287
09020060,Kinmen_WuqiuTownship,金門縣,烏坵鄉,457,506,538,564,608,656,672,663,669,685,682,679,662,672,670,664,646,593
09020050,Kinmen_LieyuTownship,金門縣,烈嶼鄉,7451,8580,8921,9515,10424,11236,11978,12450,12568,12700,12861,12749,12733,12743,12649,12766,12538,12050
09020010,Kinmen_JinchengTownship,金門縣,金城鎮,28840,31563,32315,34245,36974,39062,40933,42344,42726,43285,43325,43253,43000,42845,42342,43192,42719,40998
09020020,Kinmen_JinshaTownship,金門縣,金沙鎮,13514,14851,15324,16301,17543,18567,19465,20107,20312,20535,20784,20802,20732,20785,20673,20858,20680,19840
09020030,Kinmen_JinhuTownship,金門縣,金湖鎮,18720,20467,21328,22738,24623,26074,27368,28402,28833,29413,29856,30171,30400,30593,30636,31269,31209,30545
09007010,Matsu_NanganTownship,連江縣,南竿鄉,5798,5939,5904,6000,6780,7288,7496,7409,7382,7544,7663,7599,7638,7657,7797,7827,7815,7629
09007030,Matsu_JuguangTownship,連江縣,莒光鄉,1183,1166,1186,1163,1327,1438,1424,1535,1562,1624,1618,1543,1489,1496,1471,1504,1518,1537
09007020,Matsu_BeiganTownship,連江縣,北竿鄉,1762,1755,1801,1864,2071,2268,2320,2333,2344,2360,2425,2595,2717,2998,3181,3136,3062,2930
09007040,Matsu_DongyinTownship,連江縣,東引鄉,1012,1059,1053,1079,1132,1171,1266,1270,1307,1352,1350,1352,1435,1494,1534,1572,1555,1525
